,pHopt
Q32D90_55_aligned.pdb,6.715149
Q32D90_25_aligned.pdb,7.3098583
Q32D90_86_aligned.pdb,7.4920163
Q32D90_17_aligned.pdb,7.3635883
Q32D90_67_aligned.pdb,7.193825
Q32D90_39_aligned.pdb,7.5794353
Q32D90_9_aligned.pdb,7.4785933
Q32D90_49_aligned.pdb,7.046545
Q32D90_72_aligned.pdb,7.070147
Q32D90_93_aligned.pdb,7.3162627
Q32D90_40_aligned.pdb,7.3816643
Q32D90_0_aligned.pdb,7.5287743
Q32D90_30_aligned.pdb,7.02995
Q32D90_77_aligned.pdb,7.6961823
Q32D90_59_aligned.pdb,7.80696
Q32D90_29_aligned.pdb,7.811971
Q32D90_35_aligned.pdb,6.8579135
Q32D90_5_aligned.pdb,7.5084696
Q32D90_45_aligned.pdb,7.186295
Q32D90_96_aligned.pdb,7.3104954
Q32D90_83_aligned.pdb,7.491061
Q32D90_20_aligned.pdb,7.4100904
Q32D90_50_aligned.pdb,6.900966
Q32D90_62_aligned.pdb,7.454394
Q32D90_12_aligned.pdb,7.920454
Q32D90_61_aligned.pdb,7.326296
Q32D90_11_aligned.pdb,7.1634493
Q32D90_23_aligned.pdb,7.2819815
Q32D90_53_aligned.pdb,7.2967043
Q32D90_80_aligned.pdb,7.557523
Q32D90_18_aligned.pdb,6.9022965
Q32D90_95_aligned.pdb,7.395256
Q32D90_68_aligned.pdb,7.66694
Q32D90_36_aligned.pdb,7.415914
Q32D90_46_aligned.pdb,7.368904
Q32D90_6_aligned.pdb,7.3456526
Q32D90_74_aligned.pdb,7.581684
Q32D90_89_aligned.pdb,7.233659
Q32D90_3_aligned.pdb,7.6900473
Q32D90_43_aligned.pdb,7.9360456
Q32D90_33_aligned.pdb,7.0986204
Q32D90_90_aligned.pdb,7.4015036
Q32D90_71_aligned.pdb,7.2411003
Q32D90_14_aligned.pdb,7.6624713
Q32D90_99_aligned.pdb,7.628973
Q32D90_64_aligned.pdb,7.728557
Q32D90_78_aligned.pdb,7.330569
Q32D90_85_aligned.pdb,7.2881927
Q32D90_56_aligned.pdb,7.4065914
Q32D90_26_aligned.pdb,6.9997606
Q32D90_13_aligned.pdb,7.165735
Q32D90_63_aligned.pdb,7.374574
Q32D90_82_aligned.pdb,7.504525
Q32D90_51_aligned.pdb,7.1775208
Q32D90_21_aligned.pdb,6.4127035
Q32D90_44_aligned.pdb,7.447279
Q32D90_4_aligned.pdb,7.703639
Q32D90_34_aligned.pdb,7.8390007
Q32D90_97_aligned.pdb,7.1275597
Q32D90_76_aligned.pdb,7.4736876
Q32D90_28_aligned.pdb,7.692012
Q32D90_58_aligned.pdb,7.5480704
Q32D90_92_aligned.pdb,7.3970923
Q32D90_31_aligned.pdb,7.419734
Q32D90_1_aligned.pdb,7.773938
Q32D90_41_aligned.pdb,7.500789
Q32D90_73_aligned.pdb,7.8202763
Q32D90_66_aligned.pdb,7.4461384
Q32D90_16_aligned.pdb,7.3750834
Q32D90_48_aligned.pdb,7.736522
Q32D90_8_aligned.pdb,7.5452585
Q32D90_38_aligned.pdb,7.18717
Q32D90_24_aligned.pdb,7.6610727
Q32D90_54_aligned.pdb,7.5663567
Q32D90_87_aligned.pdb,7.6828356
Q32D90_84_aligned.pdb,7.49208
Q32D90_79_aligned.pdb,7.582894
Q32D90_27_aligned.pdb,7.0889077
Q32D90_57_aligned.pdb,7.8406267
Q32D90_65_aligned.pdb,7.534047
Q32D90_98_aligned.pdb,8.032459
Q32D90_15_aligned.pdb,7.3799725
Q32D90_70_aligned.pdb,7.0558624
Q32D90_32_aligned.pdb,7.307699
Q32D90_42_aligned.pdb,6.812973
Q32D90_2_aligned.pdb,7.0470333
Q32D90_91_aligned.pdb,6.9475904
Q32D90_88_aligned.pdb,7.414903
Q32D90_75_aligned.pdb,7.510338
Q32D90_69_aligned.pdb,7.1705036
Q32D90_94_aligned.pdb,7.8726034
Q32D90_19_aligned.pdb,7.3741603
Q32D90_7_aligned.pdb,7.4417467
Q32D90_47_aligned.pdb,7.3895493
Q32D90_37_aligned.pdb,7.5993757
Q32D90_52_aligned.pdb,6.993803
Q32D90_22_aligned.pdb,7.0009146
Q32D90_81_aligned.pdb,7.6201696
Q32D90_10_aligned.pdb,7.8647118
Q32D90_60_aligned.pdb,7.543039
