,pHopt
Q39034_6.pdb,6.8297634
Q39034_89.pdb,7.2065587
Q39034_76.pdb,7.0102763
Q39034_62.pdb,7.1364174
Q39034_63.pdb,7.124849
Q39034_77.pdb,6.9617434
Q39034_88.pdb,7.173709
Q39034_7.pdb,7.065078
Q39034_5.pdb,7.407394
Q39034_49.pdb,7.1838703
Q39034_61.pdb,6.923885
Q39034_75.pdb,7.264509
Q39034_74.pdb,7.322768
Q39034_60.pdb,7.542583
Q39034_48.pdb,7.075197
Q39034_4.pdb,7.0493636
Q39034_0.pdb,7.2458935
Q39034_64.pdb,6.6420493
Q39034_70.pdb,6.7745867
Q39034_58.pdb,7.281515
Q39034_59.pdb,7.2581544
Q39034_71.pdb,6.986041
Q39034_65.pdb,7.349193
Q39034_1.pdb,7.3600526
Q39034_3.pdb,7.0187516
Q39034_98.pdb,7.2030687
Q39034_73.pdb,6.6563444
Q39034_67.pdb,7.859716
Q39034_66.pdb,7.2601013
Q39034_72.pdb,6.5615892
Q39034_99.pdb,7.5062337
Q39034_2.pdb,7.5508547
Q39034_29.pdb,6.4867935
Q39034_15.pdb,7.0843
Q39034_14.pdb,6.7386107
Q39034_28.pdb,7.3034134
Q39034_16.pdb,7.0966864
Q39034_17.pdb,6.579981
Q39034_13.pdb,7.7648926
Q39034_12.pdb,7.1880574
Q39034_10.pdb,7.219139
Q39034_38.pdb,6.8320746
Q39034_39.pdb,7.083815
Q39034_11.pdb,7.2256403
Q39034_34.pdb,7.239831
Q39034_20.pdb,7.1222324
Q39034_21.pdb,6.731714
Q39034_35.pdb,6.590388
Q39034_23.pdb,7.214957
Q39034_37.pdb,7.1504583
Q39034_36.pdb,7.1159325
Q39034_22.pdb,7.1905937
Q39034_26.pdb,7.016262
Q39034_32.pdb,7.1762114
Q39034_33.pdb,7.2905707
Q39034_27.pdb,7.037314
Q39034_31.pdb,6.975542
Q39034_25.pdb,6.9858932
Q39034_19.pdb,7.3080945
Q39034_18.pdb,6.952819
Q39034_24.pdb,7.456443
Q39034_30.pdb,7.4378247
Q39034_94.pdb,7.391483
Q39034_80.pdb,6.891713
Q39034_57.pdb,7.3075256
Q39034_43.pdb,7.0492573
Q39034_42.pdb,6.910937
Q39034_56.pdb,6.9949493
Q39034_81.pdb,7.369995
Q39034_95.pdb,7.2941008
Q39034_83.pdb,7.1067815
Q39034_97.pdb,7.588485
Q39034_68.pdb,7.496278
Q39034_40.pdb,7.398981
Q39034_54.pdb,6.9968367
Q39034_55.pdb,7.0058804
Q39034_41.pdb,7.2369027
Q39034_69.pdb,6.8557005
Q39034_96.pdb,6.652176
Q39034_82.pdb,6.927643
Q39034_9.pdb,7.444807
Q39034_86.pdb,7.339717
Q39034_92.pdb,7.1245823
Q39034_45.pdb,7.324577
Q39034_51.pdb,7.1034355
Q39034_79.pdb,7.097829
Q39034_78.pdb,7.694288
Q39034_50.pdb,7.2181554
Q39034_44.pdb,7.1343474
Q39034_93.pdb,7.391252
Q39034_87.pdb,7.2811127
Q39034_8.pdb,7.1631885
Q39034_91.pdb,7.507142
Q39034_85.pdb,7.471542
Q39034_52.pdb,6.5876365
Q39034_46.pdb,7.185597
Q39034_47.pdb,6.634126
Q39034_53.pdb,6.9857206
Q39034_84.pdb,6.8646326
Q39034_90.pdb,7.004378
