,pHopt
Q32D90_55_aligned.pdb,8.226068
Q32D90_25_aligned.pdb,8.353195
Q32D90_86_aligned.pdb,7.414172
Q32D90_17_aligned.pdb,8.084682
Q32D90_67_aligned.pdb,8.254361
Q32D90_39_aligned.pdb,7.933217
Q32D90_9_aligned.pdb,7.9784627
Q32D90_49_aligned.pdb,8.173618
Q32D90_72_aligned.pdb,7.7539907
Q32D90_93_aligned.pdb,7.83788
Q32D90_40_aligned.pdb,7.9158783
Q32D90_0_aligned.pdb,7.611591
Q32D90_30_aligned.pdb,8.186833
Q32D90_77_aligned.pdb,8.137325
Q32D90_59_aligned.pdb,8.087357
Q32D90_29_aligned.pdb,7.837282
Q32D90_35_aligned.pdb,7.932129
Q32D90_5_aligned.pdb,8.321778
Q32D90_45_aligned.pdb,7.604105
Q32D90_96_aligned.pdb,7.862277
Q32D90_83_aligned.pdb,7.4294243
Q32D90_20_aligned.pdb,7.6371818
Q32D90_50_aligned.pdb,7.8565826
Q32D90_62_aligned.pdb,7.709001
Q32D90_12_aligned.pdb,7.863182
Q32D90_61_aligned.pdb,7.9313316
Q32D90_11_aligned.pdb,6.8696437
Q32D90_23_aligned.pdb,7.683306
Q32D90_53_aligned.pdb,8.322847
Q32D90_80_aligned.pdb,8.096706
Q32D90_18_aligned.pdb,7.6932664
Q32D90_95_aligned.pdb,8.289167
Q32D90_68_aligned.pdb,6.9431314
Q32D90_36_aligned.pdb,8.165365
Q32D90_46_aligned.pdb,8.028958
Q32D90_6_aligned.pdb,8.553807
Q32D90_74_aligned.pdb,8.197929
Q32D90_89_aligned.pdb,6.417029
Q32D90_3_aligned.pdb,8.527703
Q32D90_43_aligned.pdb,8.086054
Q32D90_33_aligned.pdb,8.111101
Q32D90_90_aligned.pdb,7.930641
Q32D90_71_aligned.pdb,8.122707
Q32D90_14_aligned.pdb,8.244963
Q32D90_99_aligned.pdb,8.853106
Q32D90_64_aligned.pdb,8.733665
Q32D90_78_aligned.pdb,7.9053526
Q32D90_85_aligned.pdb,8.282759
Q32D90_56_aligned.pdb,8.020465
Q32D90_26_aligned.pdb,8.023088
Q32D90_13_aligned.pdb,7.1512966
Q32D90_63_aligned.pdb,6.8818808
Q32D90_82_aligned.pdb,7.9980683
Q32D90_51_aligned.pdb,8.276904
Q32D90_21_aligned.pdb,8.3377905
Q32D90_44_aligned.pdb,8.10699
Q32D90_4_aligned.pdb,8.094237
Q32D90_34_aligned.pdb,7.143844
Q32D90_97_aligned.pdb,7.0595727
Q32D90_76_aligned.pdb,7.657719
Q32D90_28_aligned.pdb,8.178337
Q32D90_58_aligned.pdb,8.095962
Q32D90_92_aligned.pdb,6.4896684
Q32D90_31_aligned.pdb,8.295719
Q32D90_1_aligned.pdb,7.8966966
Q32D90_41_aligned.pdb,7.808042
Q32D90_73_aligned.pdb,6.7135305
Q32D90_66_aligned.pdb,7.3496003
Q32D90_16_aligned.pdb,8.312926
Q32D90_48_aligned.pdb,7.637072
Q32D90_8_aligned.pdb,8.368872
Q32D90_38_aligned.pdb,8.284319
Q32D90_24_aligned.pdb,7.891159
Q32D90_54_aligned.pdb,7.755122
Q32D90_87_aligned.pdb,8.672649
Q32D90_84_aligned.pdb,7.7539907
Q32D90_79_aligned.pdb,7.4849057
Q32D90_27_aligned.pdb,7.536138
Q32D90_57_aligned.pdb,8.547079
Q32D90_65_aligned.pdb,8.763861
Q32D90_98_aligned.pdb,8.669082
Q32D90_15_aligned.pdb,8.407768
Q32D90_70_aligned.pdb,8.300838
Q32D90_32_aligned.pdb,8.429878
Q32D90_42_aligned.pdb,8.341623
Q32D90_2_aligned.pdb,7.5502005
Q32D90_91_aligned.pdb,7.1400414
Q32D90_88_aligned.pdb,7.6088376
Q32D90_75_aligned.pdb,7.862277
Q32D90_69_aligned.pdb,7.8364472
Q32D90_94_aligned.pdb,7.5820765
Q32D90_19_aligned.pdb,8.278906
Q32D90_7_aligned.pdb,7.3838067
Q32D90_47_aligned.pdb,8.079573
Q32D90_37_aligned.pdb,8.315365
Q32D90_52_aligned.pdb,8.498207
Q32D90_22_aligned.pdb,7.8920565
Q32D90_81_aligned.pdb,7.211935
Q32D90_10_aligned.pdb,8.017078
Q32D90_60_aligned.pdb,7.4016905
