,pHopt
Q31F43_49.pdb,6.9761505
Q31F43_61.pdb,7.1286345
Q31F43_75.pdb,6.6584845
Q31F43_74.pdb,7.1739254
Q31F43_60.pdb,6.9684353
Q31F43_48.pdb,7.4089975
Q31F43_76.pdb,6.9602475
Q31F43_62.pdb,7.13652
Q31F43_89.pdb,7.0389576
Q31F43_88.pdb,6.881322
Q31F43_63.pdb,7.4255033
Q31F43_77.pdb,7.030173
Q31F43_73.pdb,7.4688287
Q31F43_67.pdb,7.344921
Q31F43_98.pdb,7.007865
Q31F43_99.pdb,6.558416
Q31F43_66.pdb,7.459896
Q31F43_72.pdb,7.0058947
Q31F43_64.pdb,7.507138
Q31F43_70.pdb,7.2832003
Q31F43_58.pdb,7.238366
Q31F43_59.pdb,7.267421
Q31F43_71.pdb,6.9151955
Q31F43_65.pdb,7.599649
Q31F43_16.pdb,6.875929
Q31F43_17.pdb,7.00553
Q31F43_9.pdb,7.132146
Q31F43_29.pdb,7.7221117
Q31F43_15.pdb,6.7053366
Q31F43_14.pdb,7.2377014
Q31F43_28.pdb,6.9343925
Q31F43_8.pdb,7.2462454
Q31F43_10.pdb,7.8150134
Q31F43_38.pdb,7.7136602
Q31F43_39.pdb,7.69836
Q31F43_11.pdb,6.6396017
Q31F43_13.pdb,7.4387803
Q31F43_12.pdb,6.6824007
Q31F43_3.pdb,7.2729087
Q31F43_23.pdb,6.907102
Q31F43_37.pdb,7.5135436
Q31F43_36.pdb,7.0635037
Q31F43_22.pdb,6.849018
Q31F43_2.pdb,7.3083463
Q31F43_0.pdb,7.4372125
Q31F43_34.pdb,7.3995423
Q31F43_20.pdb,7.1433916
Q31F43_21.pdb,7.398783
Q31F43_35.pdb,7.1662183
Q31F43_1.pdb,7.254996
Q31F43_5.pdb,6.964575
Q31F43_31.pdb,6.9358387
Q31F43_25.pdb,7.039038
Q31F43_19.pdb,7.281584
Q31F43_18.pdb,7.193476
Q31F43_24.pdb,6.967087
Q31F43_30.pdb,7.495772
Q31F43_4.pdb,7.3453393
Q31F43_6.pdb,6.751739
Q31F43_26.pdb,7.440958
Q31F43_32.pdb,7.293555
Q31F43_33.pdb,7.2378125
Q31F43_27.pdb,7.4861574
Q31F43_7.pdb,7.089013
Q31F43_68.pdb,7.318655
Q31F43_40.pdb,6.993872
Q31F43_54.pdb,7.27269
Q31F43_83.pdb,6.836454
Q31F43_97.pdb,7.501167
Q31F43_96.pdb,6.490115
Q31F43_82.pdb,7.3558674
Q31F43_55.pdb,6.745286
Q31F43_41.pdb,7.12636
Q31F43_69.pdb,7.0330615
Q31F43_57.pdb,7.218273
Q31F43_43.pdb,6.9401183
Q31F43_94.pdb,6.981778
Q31F43_80.pdb,7.1441865
Q31F43_81.pdb,6.8191004
Q31F43_95.pdb,6.970626
Q31F43_42.pdb,7.1972327
Q31F43_56.pdb,7.5940933
Q31F43_52.pdb,6.851577
Q31F43_46.pdb,7.016926
Q31F43_91.pdb,7.36426
Q31F43_85.pdb,7.3714495
Q31F43_84.pdb,7.465495
Q31F43_90.pdb,7.4791727
Q31F43_47.pdb,6.97374
Q31F43_53.pdb,6.80994
Q31F43_45.pdb,7.316782
Q31F43_51.pdb,7.2581205
Q31F43_79.pdb,7.607221
Q31F43_86.pdb,6.742823
Q31F43_92.pdb,7.0873
Q31F43_93.pdb,7.0897593
Q31F43_87.pdb,7.161088
Q31F43_78.pdb,7.504669
Q31F43_50.pdb,7.4934454
Q31F43_44.pdb,7.4066477
