,pHopt
Q54YN2_1.pdb,7.340046
Q54YN2_80.pdb,6.9778066
Q54YN2_94.pdb,7.373172
Q54YN2_43.pdb,6.8519187
Q54YN2_57.pdb,7.1700706
Q54YN2_56.pdb,7.1129355
Q54YN2_42.pdb,7.0212984
Q54YN2_95.pdb,7.5141106
Q54YN2_81.pdb,6.806671
Q54YN2_0.pdb,7.300494
Q54YN2_2.pdb,6.963842
Q54YN2_97.pdb,7.1079097
Q54YN2_83.pdb,7.531656
Q54YN2_54.pdb,7.2922297
Q54YN2_40.pdb,6.558095
Q54YN2_68.pdb,7.433732
Q54YN2_69.pdb,6.7340517
Q54YN2_41.pdb,7.201071
Q54YN2_55.pdb,7.637882
Q54YN2_82.pdb,7.379038
Q54YN2_96.pdb,7.39726
Q54YN2_3.pdb,6.890684
Q54YN2_7.pdb,7.069072
Q54YN2_92.pdb,7.6169925
Q54YN2_86.pdb,7.066043
Q54YN2_79.pdb,7.63023
Q54YN2_51.pdb,6.44188
Q54YN2_45.pdb,7.9419675
Q54YN2_44.pdb,7.256729
Q54YN2_50.pdb,7.238125
Q54YN2_78.pdb,7.3292265
Q54YN2_87.pdb,7.1889906
Q54YN2_93.pdb,7.2821255
Q54YN2_6.pdb,7.1118064
Q54YN2_4.pdb,7.4583015
Q54YN2_85.pdb,6.9315023
Q54YN2_91.pdb,7.4420424
Q54YN2_46.pdb,7.2873573
Q54YN2_52.pdb,7.24582
Q54YN2_53.pdb,7.007642
Q54YN2_47.pdb,7.015215
Q54YN2_90.pdb,7.2374353
Q54YN2_84.pdb,7.060116
Q54YN2_5.pdb,6.8377438
Q54YN2_20.pdb,6.8002872
Q54YN2_34.pdb,7.25534
Q54YN2_35.pdb,7.286179
Q54YN2_21.pdb,7.1585674
Q54YN2_37.pdb,7.345273
Q54YN2_23.pdb,7.1169415
Q54YN2_22.pdb,7.0477543
Q54YN2_36.pdb,6.662487
Q54YN2_32.pdb,7.154419
Q54YN2_26.pdb,7.358607
Q54YN2_27.pdb,7.447722
Q54YN2_33.pdb,7.465072
Q54YN2_19.pdb,7.5055337
Q54YN2_25.pdb,7.405401
Q54YN2_31.pdb,7.1448812
Q54YN2_30.pdb,7.1740274
Q54YN2_24.pdb,7.336925
Q54YN2_18.pdb,7.4084964
Q54YN2_15.pdb,7.0947275
Q54YN2_29.pdb,7.1311517
Q54YN2_28.pdb,6.913471
Q54YN2_14.pdb,7.4114056
Q54YN2_16.pdb,7.09037
Q54YN2_17.pdb,6.8622427
Q54YN2_13.pdb,7.054371
Q54YN2_12.pdb,6.920929
Q54YN2_38.pdb,7.128105
Q54YN2_10.pdb,7.5399137
Q54YN2_11.pdb,7.4260063
Q54YN2_39.pdb,6.899647
Q54YN2_8.pdb,7.2307596
Q54YN2_89.pdb,7.062629
Q54YN2_62.pdb,6.6207485
Q54YN2_76.pdb,7.596189
Q54YN2_77.pdb,7.294955
Q54YN2_63.pdb,7.2649603
Q54YN2_88.pdb,7.1335106
Q54YN2_9.pdb,7.2300596
Q54YN2_75.pdb,7.042677
Q54YN2_61.pdb,7.1640587
Q54YN2_49.pdb,7.0020547
Q54YN2_48.pdb,6.950138
Q54YN2_60.pdb,6.8650885
Q54YN2_74.pdb,6.8911624
Q54YN2_58.pdb,6.8325095
Q54YN2_70.pdb,6.915978
Q54YN2_64.pdb,7.575674
Q54YN2_65.pdb,7.1789613
Q54YN2_71.pdb,7.1358023
Q54YN2_59.pdb,7.4615583
Q54YN2_98.pdb,7.4672565
Q54YN2_67.pdb,7.28056
Q54YN2_73.pdb,7.125793
Q54YN2_72.pdb,7.0386744
Q54YN2_66.pdb,7.6361713
Q54YN2_99.pdb,7.2727737
