,pHopt
O84413_73_aligned.pdb,7.356311
O84413_31_aligned.pdb,7.4593344
O84413_41_aligned.pdb,7.618358
O84413_92_aligned.pdb,7.275869
O84413_87_aligned.pdb,7.353425
O84413_6_aligned.pdb,6.9021297
O84413_24_aligned.pdb,6.9946384
O84413_54_aligned.pdb,7.454436
O84413_48_aligned.pdb,7.957835
O84413_38_aligned.pdb,7.1817007
O84413_66_aligned.pdb,7.1412406
O84413_16_aligned.pdb,7.276829
O84413_51_aligned.pdb,7.2444997
O84413_21_aligned.pdb,7.511768
O84413_3_aligned.pdb,6.610799
O84413_82_aligned.pdb,7.3098917
O84413_13_aligned.pdb,7.312619
O84413_63_aligned.pdb,7.30659
O84413_28_aligned.pdb,7.3443666
O84413_58_aligned.pdb,7.472037
O84413_76_aligned.pdb,7.3972206
O84413_97_aligned.pdb,7.3949633
O84413_44_aligned.pdb,7.687239
O84413_34_aligned.pdb,6.942643
O84413_47_aligned.pdb,7.446413
O84413_37_aligned.pdb,7.6633177
O84413_94_aligned.pdb,7.631606
O84413_69_aligned.pdb,6.3075294
O84413_19_aligned.pdb,7.0112643
O84413_75_aligned.pdb,7.4755087
O84413_9_aligned.pdb,7.355634
O84413_88_aligned.pdb,7.027342
O84413_10_aligned.pdb,6.980499
O84413_60_aligned.pdb,7.568176
O84413_81_aligned.pdb,6.986859
O84413_0_aligned.pdb,7.5330977
O84413_52_aligned.pdb,7.4196625
O84413_22_aligned.pdb,7.5811257
O84413_98_aligned.pdb,7.0711036
O84413_65_aligned.pdb,7.705033
O84413_15_aligned.pdb,7.5469303
O84413_27_aligned.pdb,7.482189
O84413_57_aligned.pdb,7.0940332
O84413_5_aligned.pdb,7.8122373
O84413_79_aligned.pdb,7.100063
O84413_84_aligned.pdb,7.5831385
O84413_91_aligned.pdb,7.6177893
O84413_32_aligned.pdb,7.4438496
O84413_42_aligned.pdb,7.407348
O84413_70_aligned.pdb,7.300662
O84413_96_aligned.pdb,7.5338535
O84413_35_aligned.pdb,7.710659
O84413_45_aligned.pdb,6.8869767
O84413_59_aligned.pdb,7.6253166
O84413_29_aligned.pdb,7.5731883
O84413_77_aligned.pdb,7.226549
O84413_62_aligned.pdb,7.326477
O84413_12_aligned.pdb,7.174233
O84413_20_aligned.pdb,7.386859
O84413_50_aligned.pdb,7.35462
O84413_83_aligned.pdb,7.3978395
O84413_2_aligned.pdb,6.9453697
O84413_39_aligned.pdb,7.582575
O84413_49_aligned.pdb,7.399579
O84413_17_aligned.pdb,7.260456
O84413_67_aligned.pdb,7.746633
O84413_7_aligned.pdb,7.397517
O84413_86_aligned.pdb,7.207878
O84413_55_aligned.pdb,7.6274576
O84413_25_aligned.pdb,6.824647
O84413_40_aligned.pdb,7.334491
O84413_30_aligned.pdb,6.74698
O84413_93_aligned.pdb,7.867321
O84413_72_aligned.pdb,7.626779
O84413_71_aligned.pdb,7.1083484
O84413_90_aligned.pdb,7.2669106
O84413_43_aligned.pdb,7.2232547
O84413_33_aligned.pdb,7.74033
O84413_56_aligned.pdb,7.7099133
O84413_26_aligned.pdb,7.043603
O84413_85_aligned.pdb,7.6621943
O84413_78_aligned.pdb,7.0955634
O84413_4_aligned.pdb,7.4366527
O84413_14_aligned.pdb,7.0855627
O84413_64_aligned.pdb,7.2944527
O84413_99_aligned.pdb,7.7516174
O84413_1_aligned.pdb,7.1489563
O84413_80_aligned.pdb,7.33962
O84413_23_aligned.pdb,7.2371607
O84413_53_aligned.pdb,7.7359514
O84413_61_aligned.pdb,7.2940617
O84413_11_aligned.pdb,7.053112
O84413_89_aligned.pdb,7.300151
O84413_8_aligned.pdb,7.575391
O84413_74_aligned.pdb,6.794824
O84413_36_aligned.pdb,6.948421
O84413_46_aligned.pdb,7.038451
O84413_18_aligned.pdb,7.383485
O84413_68_aligned.pdb,7.1764274
O84413_95_aligned.pdb,7.6126184
