,pHopt
Q39034_76_aligned.pdb,7.6680756
Q39034_58_aligned.pdb,7.2802453
Q39034_28_aligned.pdb,7.179786
Q39034_34_aligned.pdb,7.1524334
Q39034_44_aligned.pdb,7.0709543
Q39034_97_aligned.pdb,7.2483788
Q39034_82_aligned.pdb,7.2372327
Q39034_21_aligned.pdb,7.6210465
Q39034_5_aligned.pdb,7.0917153
Q39034_51_aligned.pdb,7.004488
Q39034_63_aligned.pdb,7.3581862
Q39034_13_aligned.pdb,7.5595427
Q39034_54_aligned.pdb,7.207397
Q39034_0_aligned.pdb,7.1244283
Q39034_24_aligned.pdb,7.8616767
Q39034_87_aligned.pdb,7.493999
Q39034_16_aligned.pdb,7.332369
Q39034_66_aligned.pdb,7.0622053
Q39034_38_aligned.pdb,7.412129
Q39034_48_aligned.pdb,7.6457567
Q39034_9_aligned.pdb,7.265518
Q39034_73_aligned.pdb,7.879813
Q39034_92_aligned.pdb,7.6211567
Q39034_41_aligned.pdb,7.4517574
Q39034_31_aligned.pdb,7.8816185
Q39034_42_aligned.pdb,6.908928
Q39034_32_aligned.pdb,7.4495883
Q39034_91_aligned.pdb,7.5200586
Q39034_70_aligned.pdb,7.4799395
Q39034_15_aligned.pdb,7.975623
Q39034_98_aligned.pdb,7.580242
Q39034_65_aligned.pdb,7.2092505
Q39034_79_aligned.pdb,7.351586
Q39034_84_aligned.pdb,7.5298147
Q39034_3_aligned.pdb,7.047834
Q39034_57_aligned.pdb,7.4771533
Q39034_27_aligned.pdb,7.365081
Q39034_60_aligned.pdb,7.4729257
Q39034_10_aligned.pdb,6.9293175
Q39034_22_aligned.pdb,6.9470525
Q39034_52_aligned.pdb,7.701647
Q39034_6_aligned.pdb,7.3766427
Q39034_81_aligned.pdb,8.255677
Q39034_19_aligned.pdb,7.6433372
Q39034_94_aligned.pdb,7.7075677
Q39034_69_aligned.pdb,7.1869755
Q39034_37_aligned.pdb,6.7318363
Q39034_47_aligned.pdb,6.9467173
Q39034_75_aligned.pdb,7.46235
Q39034_88_aligned.pdb,7.6430283
Q39034_93_aligned.pdb,7.4608097
Q39034_30_aligned.pdb,6.5875316
Q39034_40_aligned.pdb,7.655806
Q39034_8_aligned.pdb,7.5434194
Q39034_72_aligned.pdb,7.2698197
Q39034_67_aligned.pdb,7.2232943
Q39034_17_aligned.pdb,7.3342524
Q39034_49_aligned.pdb,6.957594
Q39034_39_aligned.pdb,7.507755
Q39034_25_aligned.pdb,7.0190463
Q39034_1_aligned.pdb,6.955616
Q39034_55_aligned.pdb,7.288065
Q39034_86_aligned.pdb,7.098776
Q39034_12_aligned.pdb,7.65125
Q39034_62_aligned.pdb,7.133438
Q39034_83_aligned.pdb,7.136352
Q39034_50_aligned.pdb,7.4618998
Q39034_4_aligned.pdb,7.346779
Q39034_20_aligned.pdb,7.1227083
Q39034_45_aligned.pdb,7.529003
Q39034_35_aligned.pdb,7.6710234
Q39034_96_aligned.pdb,7.729993
Q39034_77_aligned.pdb,7.53253
Q39034_29_aligned.pdb,6.783249
Q39034_59_aligned.pdb,7.364232
Q39034_89_aligned.pdb,7.625825
Q39034_74_aligned.pdb,6.9654064
Q39034_68_aligned.pdb,7.4636383
Q39034_95_aligned.pdb,7.5405493
Q39034_18_aligned.pdb,7.386724
Q39034_46_aligned.pdb,6.6782537
Q39034_36_aligned.pdb,6.7484326
Q39034_7_aligned.pdb,7.001083
Q39034_53_aligned.pdb,8.08592
Q39034_23_aligned.pdb,7.468103
Q39034_80_aligned.pdb,7.56209
Q39034_11_aligned.pdb,7.3821454
Q39034_61_aligned.pdb,7.3377414
Q39034_85_aligned.pdb,7.328188
Q39034_78_aligned.pdb,7.429453
Q39034_26_aligned.pdb,7.00476
Q39034_56_aligned.pdb,6.9079666
Q39034_2_aligned.pdb,7.0558243
Q39034_64_aligned.pdb,7.112746
Q39034_99_aligned.pdb,7.4766626
Q39034_14_aligned.pdb,7.114563
Q39034_71_aligned.pdb,7.2896113
Q39034_33_aligned.pdb,7.434241
Q39034_43_aligned.pdb,6.8573995
Q39034_90_aligned.pdb,6.8331966
