,pHopt
O84413_74.pdb,7.292948
O84413_60.pdb,7.5265408
O84413_48.pdb,8.097668
O84413_49.pdb,6.5010157
O84413_61.pdb,7.2958035
O84413_75.pdb,6.943341
O84413_63.pdb,7.1627793
O84413_77.pdb,7.063987
O84413_88.pdb,7.5305953
O84413_89.pdb,6.9987583
O84413_76.pdb,7.1574044
O84413_62.pdb,7.4841266
O84413_66.pdb,6.9812436
O84413_72.pdb,6.8558483
O84413_99.pdb,7.099647
O84413_8.pdb,7.067336
O84413_9.pdb,7.3975935
O84413_98.pdb,6.783627
O84413_73.pdb,6.779584
O84413_67.pdb,7.11553
O84413_59.pdb,7.379817
O84413_71.pdb,6.945178
O84413_65.pdb,7.0664587
O84413_64.pdb,7.8985868
O84413_70.pdb,7.209936
O84413_58.pdb,7.4151254
O84413_17.pdb,6.9065175
O84413_16.pdb,7.079827
O84413_14.pdb,7.7798223
O84413_28.pdb,7.4391384
O84413_29.pdb,6.9872065
O84413_15.pdb,7.0537477
O84413_39.pdb,7.2031474
O84413_11.pdb,6.717156
O84413_10.pdb,7.3254194
O84413_38.pdb,7.1315107
O84413_12.pdb,6.8546906
O84413_13.pdb,7.1675406
O84413_36.pdb,7.044995
O84413_22.pdb,7.185855
O84413_23.pdb,7.1352415
O84413_37.pdb,7.0760155
O84413_21.pdb,7.481991
O84413_35.pdb,7.085298
O84413_34.pdb,6.95335
O84413_20.pdb,7.825888
O84413_18.pdb,7.2688737
O84413_24.pdb,7.046983
O84413_30.pdb,7.268848
O84413_31.pdb,7.1686983
O84413_25.pdb,7.0320024
O84413_19.pdb,7.127019
O84413_33.pdb,7.1496773
O84413_27.pdb,7.6546535
O84413_26.pdb,7.1373415
O84413_32.pdb,6.833917
O84413_55.pdb,6.9623046
O84413_41.pdb,7.3060265
O84413_69.pdb,7.0652466
O84413_96.pdb,7.0536966
O84413_82.pdb,7.347273
O84413_7.pdb,7.0968847
O84413_6.pdb,7.3571973
O84413_83.pdb,7.819498
O84413_97.pdb,7.226289
O84413_68.pdb,7.169817
O84413_40.pdb,7.4627266
O84413_54.pdb,7.0713224
O84413_42.pdb,7.350711
O84413_56.pdb,7.0528183
O84413_81.pdb,7.0445995
O84413_95.pdb,7.3978777
O84413_4.pdb,7.4846935
O84413_5.pdb,7.207311
O84413_94.pdb,7.0704064
O84413_80.pdb,7.267685
O84413_57.pdb,7.035206
O84413_43.pdb,6.9380836
O84413_47.pdb,7.0634856
O84413_53.pdb,7.4613667
O84413_84.pdb,7.0792418
O84413_90.pdb,7.4809265
O84413_1.pdb,7.173485
O84413_0.pdb,7.798932
O84413_91.pdb,7.297987
O84413_85.pdb,7.411577
O84413_52.pdb,7.1009436
O84413_46.pdb,7.14572
O84413_78.pdb,7.4623404
O84413_50.pdb,6.6429176
O84413_44.pdb,6.878949
O84413_93.pdb,7.147198
O84413_87.pdb,7.6297197
O84413_2.pdb,6.596441
O84413_3.pdb,7.2409053
O84413_86.pdb,7.3960433
O84413_92.pdb,7.2602744
O84413_45.pdb,7.232388
O84413_51.pdb,6.551524
O84413_79.pdb,7.042995
