,pHopt
Q32D90_48.pdb,7.541895
Q32D90_60.pdb,7.244652
Q32D90_74.pdb,7.384834
Q32D90_75.pdb,7.1142654
Q32D90_61.pdb,7.015361
Q32D90_49.pdb,7.3017607
Q32D90_88.pdb,7.329753
Q32D90_77.pdb,7.2519197
Q32D90_63.pdb,6.3127193
Q32D90_62.pdb,7.26887
Q32D90_76.pdb,7.1741905
Q32D90_89.pdb,6.683733
Q32D90_99.pdb,7.2379975
Q32D90_72.pdb,7.2623587
Q32D90_66.pdb,6.504052
Q32D90_67.pdb,7.4596605
Q32D90_73.pdb,6.760599
Q32D90_98.pdb,6.899166
Q32D90_65.pdb,7.2952156
Q32D90_71.pdb,6.996766
Q32D90_59.pdb,7.2455125
Q32D90_58.pdb,6.993236
Q32D90_70.pdb,6.7839684
Q32D90_64.pdb,7.309041
Q32D90_17.pdb,7.0658536
Q32D90_16.pdb,7.0336294
Q32D90_9.pdb,7.0548897
Q32D90_28.pdb,7.425659
Q32D90_14.pdb,6.9064536
Q32D90_15.pdb,7.480066
Q32D90_29.pdb,7.522834
Q32D90_8.pdb,6.8430815
Q32D90_11.pdb,7.081827
Q32D90_39.pdb,6.9546413
Q32D90_38.pdb,7.1197233
Q32D90_10.pdb,7.15407
Q32D90_12.pdb,7.022134
Q32D90_13.pdb,6.943231
Q32D90_3.pdb,7.548908
Q32D90_22.pdb,7.447138
Q32D90_36.pdb,6.8444457
Q32D90_37.pdb,7.1877913
Q32D90_23.pdb,6.8648195
Q32D90_2.pdb,7.3208795
Q32D90_35.pdb,7.2395177
Q32D90_0.pdb,7.1174126
Q32D90_21.pdb,7.1870265
Q32D90_20.pdb,7.0693493
Q32D90_1.pdb,6.6980066
Q32D90_34.pdb,7.6087804
Q32D90_30.pdb,7.3574877
Q32D90_5.pdb,7.1809607
Q32D90_24.pdb,7.2938914
Q32D90_18.pdb,6.7905273
Q32D90_19.pdb,7.0175314
Q32D90_25.pdb,7.254158
Q32D90_4.pdb,7.1575785
Q32D90_31.pdb,7.0987396
Q32D90_6.pdb,7.222352
Q32D90_27.pdb,7.375882
Q32D90_33.pdb,6.9439335
Q32D90_32.pdb,6.6387167
Q32D90_26.pdb,6.8357515
Q32D90_7.pdb,7.117297
Q32D90_82.pdb,7.0059423
Q32D90_96.pdb,7.1069717
Q32D90_69.pdb,7.019661
Q32D90_41.pdb,7.367955
Q32D90_55.pdb,7.2457223
Q32D90_54.pdb,7.7588797
Q32D90_40.pdb,7.3524957
Q32D90_68.pdb,7.563786
Q32D90_97.pdb,6.859833
Q32D90_83.pdb,7.3443537
Q32D90_95.pdb,7.1953893
Q32D90_81.pdb,7.043695
Q32D90_56.pdb,7.4316964
Q32D90_42.pdb,7.4898834
Q32D90_43.pdb,7.0061255
Q32D90_57.pdb,7.327031
Q32D90_80.pdb,7.072402
Q32D90_94.pdb,7.11701
Q32D90_90.pdb,6.980365
Q32D90_84.pdb,7.063836
Q32D90_53.pdb,7.2921543
Q32D90_47.pdb,7.366795
Q32D90_46.pdb,6.8789387
Q32D90_52.pdb,7.0957484
Q32D90_85.pdb,7.390538
Q32D90_91.pdb,7.294565
Q32D90_87.pdb,7.125147
Q32D90_93.pdb,7.51349
Q32D90_44.pdb,7.0348806
Q32D90_50.pdb,7.9024906
Q32D90_78.pdb,6.917423
Q32D90_79.pdb,7.182366
Q32D90_51.pdb,7.598815
Q32D90_45.pdb,7.4106636
Q32D90_92.pdb,7.2843447
Q32D90_86.pdb,6.5399866
