,pHopt
P61452_17.pdb,6.8725767
P61452_16.pdb,7.1215334
P61452_14.pdb,7.337462
P61452_28.pdb,7.000614
P61452_29.pdb,6.986002
P61452_15.pdb,7.402855
P61452_39.pdb,6.767457
P61452_11.pdb,7.348711
P61452_10.pdb,7.836835
P61452_38.pdb,7.439506
P61452_12.pdb,7.199615
P61452_13.pdb,7.1625423
P61452_5.pdb,7.0427847
P61452_60.pdb,7.141425
P61452_74.pdb,7.359044
P61452_48.pdb,7.491891
P61452_49.pdb,7.121541
P61452_75.pdb,6.796656
P61452_61.pdb,7.509801
P61452_4.pdb,7.0723753
P61452_6.pdb,7.297661
P61452_77.pdb,7.5367246
P61452_63.pdb,6.9290476
P61452_88.pdb,7.0262814
P61452_89.pdb,7.3786144
P61452_62.pdb,7.3371196
P61452_76.pdb,7.5066805
P61452_7.pdb,7.082819
P61452_3.pdb,6.9317884
P61452_72.pdb,6.8747516
P61452_66.pdb,7.1265583
P61452_99.pdb,7.0415535
P61452_98.pdb,7.2565484
P61452_67.pdb,6.9583106
P61452_73.pdb,7.7376885
P61452_2.pdb,7.074276
P61452_0.pdb,7.431658
P61452_59.pdb,7.220866
P61452_65.pdb,7.0928664
P61452_71.pdb,7.208661
P61452_70.pdb,7.0529366
P61452_64.pdb,7.4978247
P61452_58.pdb,6.898821
P61452_1.pdb,7.3418646
P61452_41.pdb,6.9537745
P61452_55.pdb,7.1459007
P61452_69.pdb,6.93974
P61452_82.pdb,7.022522
P61452_96.pdb,7.549376
P61452_97.pdb,7.1079197
P61452_83.pdb,7.264312
P61452_68.pdb,6.944815
P61452_54.pdb,7.097286
P61452_40.pdb,6.999966
P61452_56.pdb,7.1853104
P61452_42.pdb,6.862458
P61452_95.pdb,7.41189
P61452_81.pdb,6.805522
P61452_80.pdb,7.277649
P61452_94.pdb,6.9943013
P61452_43.pdb,7.362303
P61452_57.pdb,7.4154468
P61452_53.pdb,6.775258
P61452_47.pdb,7.208455
P61452_90.pdb,7.165134
P61452_84.pdb,7.261103
P61452_85.pdb,7.136718
P61452_91.pdb,7.1642246
P61452_46.pdb,7.6972957
P61452_52.pdb,7.18537
P61452_9.pdb,7.298755
P61452_78.pdb,7.045146
P61452_44.pdb,7.1946836
P61452_50.pdb,7.0627584
P61452_87.pdb,7.344483
P61452_93.pdb,7.4049406
P61452_92.pdb,6.9625044
P61452_86.pdb,7.255953
P61452_51.pdb,7.21752
P61452_45.pdb,6.5645514
P61452_79.pdb,7.16668
P61452_8.pdb,7.3706045
P61452_22.pdb,7.213643
P61452_36.pdb,7.2076664
P61452_37.pdb,7.1759667
P61452_23.pdb,7.143216
P61452_35.pdb,7.1184235
P61452_21.pdb,7.221143
P61452_20.pdb,7.4593134
P61452_34.pdb,7.342964
P61452_18.pdb,6.855568
P61452_30.pdb,7.7756705
P61452_24.pdb,7.2803774
P61452_25.pdb,7.137879
P61452_31.pdb,7.041457
P61452_19.pdb,6.9002104
P61452_27.pdb,7.0115867
P61452_33.pdb,7.5478597
P61452_32.pdb,7.0344934
P61452_26.pdb,6.6467824
