,pHopt
P61452_11_aligned.pdb,7.269347
P61452_61_aligned.pdb,8.601913
P61452_53_aligned.pdb,8.510993
P61452_23_aligned.pdb,7.9799986
P61452_3_aligned.pdb,7.987071
P61452_80_aligned.pdb,8.4577
P61452_95_aligned.pdb,8.4027
P61452_68_aligned.pdb,8.300764
P61452_18_aligned.pdb,7.39662
P61452_46_aligned.pdb,8.153768
P61452_36_aligned.pdb,7.455429
P61452_74_aligned.pdb,8.0546
P61452_89_aligned.pdb,7.4606395
P61452_33_aligned.pdb,8.562134
P61452_43_aligned.pdb,8.304453
P61452_90_aligned.pdb,8.68905
P61452_71_aligned.pdb,8.180182
P61452_99_aligned.pdb,7.8476763
P61452_64_aligned.pdb,8.548378
P61452_14_aligned.pdb,7.6256065
P61452_78_aligned.pdb,7.243277
P61452_6_aligned.pdb,8.3733
P61452_85_aligned.pdb,8.031288
P61452_26_aligned.pdb,8.266988
P61452_56_aligned.pdb,8.074225
P61452_25_aligned.pdb,8.2444515
P61452_55_aligned.pdb,7.6922007
P61452_86_aligned.pdb,8.734289
P61452_5_aligned.pdb,7.3227615
P61452_67_aligned.pdb,7.979867
P61452_17_aligned.pdb,7.448928
P61452_49_aligned.pdb,8.351034
P61452_39_aligned.pdb,7.374028
P61452_72_aligned.pdb,7.941065
P61452_93_aligned.pdb,8.260742
P61452_30_aligned.pdb,7.720058
P61452_40_aligned.pdb,8.638332
P61452_9_aligned.pdb,7.96344
P61452_77_aligned.pdb,7.8984003
P61452_29_aligned.pdb,8.599699
P61452_59_aligned.pdb,8.306347
P61452_45_aligned.pdb,8.074297
P61452_35_aligned.pdb,7.8922253
P61452_96_aligned.pdb,7.9374022
P61452_83_aligned.pdb,7.5003366
P61452_0_aligned.pdb,7.666254
P61452_50_aligned.pdb,8.080282
P61452_20_aligned.pdb,7.448694
P61452_12_aligned.pdb,8.0923605
P61452_62_aligned.pdb,8.187968
P61452_84_aligned.pdb,8.357258
P61452_7_aligned.pdb,6.791753
P61452_79_aligned.pdb,8.059115
P61452_57_aligned.pdb,7.731744
P61452_27_aligned.pdb,7.9343424
P61452_15_aligned.pdb,8.117396
P61452_65_aligned.pdb,7.6079273
P61452_98_aligned.pdb,7.2938423
P61452_70_aligned.pdb,7.7853775
P61452_42_aligned.pdb,7.6909657
P61452_32_aligned.pdb,7.521715
P61452_91_aligned.pdb,7.2923203
P61452_88_aligned.pdb,7.6574793
P61452_75_aligned.pdb,7.420787
P61452_19_aligned.pdb,8.44993
P61452_69_aligned.pdb,7.943798
P61452_94_aligned.pdb,8.314545
P61452_37_aligned.pdb,7.512562
P61452_47_aligned.pdb,7.7729397
P61452_22_aligned.pdb,7.843342
P61452_52_aligned.pdb,8.288392
P61452_81_aligned.pdb,6.9813156
P61452_2_aligned.pdb,7.6469507
P61452_60_aligned.pdb,7.090825
P61452_10_aligned.pdb,8.102742
P61452_63_aligned.pdb,8.389618
P61452_13_aligned.pdb,8.364338
P61452_1_aligned.pdb,7.5373836
P61452_82_aligned.pdb,7.7374353
P61452_21_aligned.pdb,8.559286
P61452_51_aligned.pdb,8.90657
P61452_34_aligned.pdb,7.0451674
P61452_44_aligned.pdb,7.697165
P61452_97_aligned.pdb,6.212065
P61452_76_aligned.pdb,8.626791
P61452_8_aligned.pdb,7.4620347
P61452_58_aligned.pdb,7.2780666
P61452_28_aligned.pdb,8.198951
P61452_92_aligned.pdb,7.6795726
P61452_41_aligned.pdb,8.454025
P61452_31_aligned.pdb,8.342751
P61452_73_aligned.pdb,7.5365925
P61452_16_aligned.pdb,8.104223
P61452_66_aligned.pdb,7.803809
P61452_38_aligned.pdb,7.6781425
P61452_48_aligned.pdb,8.106793
P61452_54_aligned.pdb,8.6954
P61452_24_aligned.pdb,7.4580173
P61452_4_aligned.pdb,8.051109
P61452_87_aligned.pdb,7.7871017
