,pHopt
Q31F43_33_aligned.pdb,7.770753
Q31F43_43_aligned.pdb,7.5984516
Q31F43_90_aligned.pdb,7.3788505
Q31F43_71_aligned.pdb,7.341106
Q31F43_99_aligned.pdb,7.4158754
Q31F43_64_aligned.pdb,7.0118427
Q31F43_6_aligned.pdb,7.0784225
Q31F43_14_aligned.pdb,7.239462
Q31F43_78_aligned.pdb,7.6714573
Q31F43_85_aligned.pdb,7.704042
Q31F43_26_aligned.pdb,7.443132
Q31F43_56_aligned.pdb,6.9333973
Q31F43_11_aligned.pdb,7.546813
Q31F43_61_aligned.pdb,7.8391194
Q31F43_3_aligned.pdb,7.0999627
Q31F43_53_aligned.pdb,7.6525183
Q31F43_23_aligned.pdb,7.3984585
Q31F43_80_aligned.pdb,7.740489
Q31F43_95_aligned.pdb,7.5545483
Q31F43_68_aligned.pdb,7.4558315
Q31F43_18_aligned.pdb,7.781813
Q31F43_46_aligned.pdb,7.7334013
Q31F43_36_aligned.pdb,7.81919
Q31F43_74_aligned.pdb,7.151014
Q31F43_89_aligned.pdb,6.888365
Q31F43_77_aligned.pdb,7.420145
Q31F43_29_aligned.pdb,8.197157
Q31F43_59_aligned.pdb,7.210929
Q31F43_45_aligned.pdb,7.39404
Q31F43_35_aligned.pdb,7.703858
Q31F43_9_aligned.pdb,7.3720593
Q31F43_96_aligned.pdb,7.6334705
Q31F43_83_aligned.pdb,7.5429597
Q31F43_50_aligned.pdb,7.7550077
Q31F43_20_aligned.pdb,7.898214
Q31F43_12_aligned.pdb,7.4046926
Q31F43_0_aligned.pdb,7.927743
Q31F43_62_aligned.pdb,7.266096
Q31F43_25_aligned.pdb,7.1655746
Q31F43_55_aligned.pdb,7.289103
Q31F43_86_aligned.pdb,7.7412033
Q31F43_5_aligned.pdb,7.384506
Q31F43_67_aligned.pdb,7.3992796
Q31F43_17_aligned.pdb,7.504001
Q31F43_49_aligned.pdb,7.091168
Q31F43_39_aligned.pdb,7.356565
Q31F43_72_aligned.pdb,7.5194197
Q31F43_93_aligned.pdb,6.655038
Q31F43_30_aligned.pdb,7.8291492
Q31F43_40_aligned.pdb,7.338419
Q31F43_88_aligned.pdb,7.008853
Q31F43_75_aligned.pdb,8.034573
Q31F43_19_aligned.pdb,7.080099
Q31F43_69_aligned.pdb,6.8193603
Q31F43_94_aligned.pdb,6.9656467
Q31F43_37_aligned.pdb,7.6748466
Q31F43_47_aligned.pdb,7.483573
Q31F43_22_aligned.pdb,6.561378
Q31F43_52_aligned.pdb,7.245249
Q31F43_81_aligned.pdb,7.7812247
Q31F43_2_aligned.pdb,7.185196
Q31F43_60_aligned.pdb,7.4127774
Q31F43_10_aligned.pdb,7.23367
Q31F43_84_aligned.pdb,6.979988
Q31F43_79_aligned.pdb,7.620972
Q31F43_57_aligned.pdb,7.730777
Q31F43_27_aligned.pdb,7.790066
Q31F43_15_aligned.pdb,7.383733
Q31F43_7_aligned.pdb,6.945875
Q31F43_65_aligned.pdb,6.9245453
Q31F43_98_aligned.pdb,7.228032
Q31F43_70_aligned.pdb,7.508865
Q31F43_42_aligned.pdb,7.51359
Q31F43_32_aligned.pdb,7.3698106
Q31F43_91_aligned.pdb,7.5100937
Q31F43_92_aligned.pdb,7.4369483
Q31F43_41_aligned.pdb,7.4983673
Q31F43_31_aligned.pdb,7.6265473
Q31F43_73_aligned.pdb,7.8159037
Q31F43_16_aligned.pdb,7.281278
Q31F43_66_aligned.pdb,7.1090455
Q31F43_4_aligned.pdb,7.6008387
Q31F43_38_aligned.pdb,7.4242597
Q31F43_48_aligned.pdb,7.361313
Q31F43_54_aligned.pdb,7.4393606
Q31F43_24_aligned.pdb,7.103948
Q31F43_87_aligned.pdb,7.138461
Q31F43_63_aligned.pdb,7.0560293
Q31F43_1_aligned.pdb,7.7650414
Q31F43_13_aligned.pdb,7.782283
Q31F43_82_aligned.pdb,7.4795003
Q31F43_21_aligned.pdb,7.474338
Q31F43_51_aligned.pdb,7.054662
Q31F43_34_aligned.pdb,7.7300515
Q31F43_44_aligned.pdb,7.625739
Q31F43_97_aligned.pdb,7.1165886
Q31F43_8_aligned.pdb,6.902594
Q31F43_76_aligned.pdb,7.7064223
Q31F43_58_aligned.pdb,7.4651546
Q31F43_28_aligned.pdb,6.966033
