,pHopt
Q39034_76_aligned.pdb,7.6243906
Q39034_58_aligned.pdb,8.683203
Q39034_28_aligned.pdb,8.347132
Q39034_34_aligned.pdb,7.48106
Q39034_44_aligned.pdb,7.687757
Q39034_97_aligned.pdb,8.399276
Q39034_82_aligned.pdb,7.7613773
Q39034_21_aligned.pdb,7.6013594
Q39034_5_aligned.pdb,7.0563154
Q39034_51_aligned.pdb,7.568707
Q39034_63_aligned.pdb,6.5788083
Q39034_13_aligned.pdb,6.9351463
Q39034_54_aligned.pdb,7.069742
Q39034_0_aligned.pdb,7.5668464
Q39034_24_aligned.pdb,7.400522
Q39034_87_aligned.pdb,7.7219696
Q39034_16_aligned.pdb,8.058107
Q39034_66_aligned.pdb,7.8181686
Q39034_38_aligned.pdb,8.022749
Q39034_48_aligned.pdb,7.593603
Q39034_9_aligned.pdb,7.9469776
Q39034_73_aligned.pdb,8.091448
Q39034_92_aligned.pdb,7.953314
Q39034_41_aligned.pdb,7.5453453
Q39034_31_aligned.pdb,8.113354
Q39034_42_aligned.pdb,8.136504
Q39034_32_aligned.pdb,7.798467
Q39034_91_aligned.pdb,7.9949474
Q39034_70_aligned.pdb,7.9806824
Q39034_15_aligned.pdb,8.493139
Q39034_98_aligned.pdb,7.1065407
Q39034_65_aligned.pdb,8.202976
Q39034_79_aligned.pdb,7.8992386
Q39034_84_aligned.pdb,7.045496
Q39034_3_aligned.pdb,8.581169
Q39034_57_aligned.pdb,7.5094485
Q39034_27_aligned.pdb,7.334071
Q39034_60_aligned.pdb,7.9510636
Q39034_10_aligned.pdb,7.6703305
Q39034_22_aligned.pdb,8.133665
Q39034_52_aligned.pdb,8.265339
Q39034_6_aligned.pdb,8.299044
Q39034_81_aligned.pdb,7.8276005
Q39034_19_aligned.pdb,7.939169
Q39034_94_aligned.pdb,7.8706746
Q39034_69_aligned.pdb,8.010448
Q39034_37_aligned.pdb,7.9113073
Q39034_47_aligned.pdb,7.921898
Q39034_75_aligned.pdb,8.182661
Q39034_88_aligned.pdb,8.529146
Q39034_93_aligned.pdb,8.155808
Q39034_30_aligned.pdb,8.073024
Q39034_40_aligned.pdb,7.27725
Q39034_8_aligned.pdb,8.507624
Q39034_72_aligned.pdb,8.243929
Q39034_67_aligned.pdb,8.608124
Q39034_17_aligned.pdb,7.816901
Q39034_49_aligned.pdb,8.331854
Q39034_39_aligned.pdb,7.97888
Q39034_25_aligned.pdb,8.015831
Q39034_1_aligned.pdb,8.116299
Q39034_55_aligned.pdb,8.052105
Q39034_86_aligned.pdb,8.034454
Q39034_12_aligned.pdb,7.8917775
Q39034_62_aligned.pdb,8.286011
Q39034_83_aligned.pdb,8.355428
Q39034_50_aligned.pdb,7.9723396
Q39034_4_aligned.pdb,8.079288
Q39034_20_aligned.pdb,8.159648
Q39034_45_aligned.pdb,8.087416
Q39034_35_aligned.pdb,8.743204
Q39034_96_aligned.pdb,6.651469
Q39034_77_aligned.pdb,8.508926
Q39034_29_aligned.pdb,7.7086997
Q39034_59_aligned.pdb,8.33078
Q39034_89_aligned.pdb,7.760591
Q39034_74_aligned.pdb,7.908236
Q39034_68_aligned.pdb,7.7179217
Q39034_95_aligned.pdb,8.179285
Q39034_18_aligned.pdb,7.192913
Q39034_46_aligned.pdb,7.8038063
Q39034_36_aligned.pdb,7.465502
Q39034_7_aligned.pdb,8.060989
Q39034_53_aligned.pdb,7.222452
Q39034_23_aligned.pdb,8.0842905
Q39034_80_aligned.pdb,8.081892
Q39034_11_aligned.pdb,8.501814
Q39034_61_aligned.pdb,8.310663
Q39034_85_aligned.pdb,8.118164
Q39034_78_aligned.pdb,8.039207
Q39034_26_aligned.pdb,7.068632
Q39034_56_aligned.pdb,7.8994503
Q39034_2_aligned.pdb,8.634848
Q39034_64_aligned.pdb,8.299044
Q39034_99_aligned.pdb,7.6176634
Q39034_14_aligned.pdb,7.4177527
Q39034_71_aligned.pdb,8.413803
Q39034_33_aligned.pdb,8.691187
Q39034_43_aligned.pdb,8.501814
Q39034_90_aligned.pdb,7.5097885
