,pHopt
O84413_73_aligned.pdb,8.288218
O84413_31_aligned.pdb,8.2429085
O84413_41_aligned.pdb,8.225641
O84413_92_aligned.pdb,8.027439
O84413_87_aligned.pdb,7.8448057
O84413_6_aligned.pdb,8.095213
O84413_24_aligned.pdb,8.471938
O84413_54_aligned.pdb,7.1827116
O84413_48_aligned.pdb,7.3680143
O84413_38_aligned.pdb,7.9963646
O84413_66_aligned.pdb,7.6701746
O84413_16_aligned.pdb,8.301282
O84413_51_aligned.pdb,8.821701
O84413_21_aligned.pdb,7.815333
O84413_3_aligned.pdb,7.981086
O84413_82_aligned.pdb,7.7110257
O84413_13_aligned.pdb,7.540476
O84413_63_aligned.pdb,8.036898
O84413_28_aligned.pdb,8.140444
O84413_58_aligned.pdb,7.782508
O84413_76_aligned.pdb,7.9395576
O84413_97_aligned.pdb,7.964028
O84413_44_aligned.pdb,7.1185937
O84413_34_aligned.pdb,7.9314976
O84413_47_aligned.pdb,8.156823
O84413_37_aligned.pdb,8.801889
O84413_94_aligned.pdb,8.583622
O84413_69_aligned.pdb,8.245439
O84413_19_aligned.pdb,7.2690797
O84413_75_aligned.pdb,8.451127
O84413_9_aligned.pdb,7.933791
O84413_88_aligned.pdb,7.9760504
O84413_10_aligned.pdb,7.956305
O84413_60_aligned.pdb,7.769821
O84413_81_aligned.pdb,7.398795
O84413_0_aligned.pdb,7.409709
O84413_52_aligned.pdb,7.738987
O84413_22_aligned.pdb,8.093366
O84413_98_aligned.pdb,7.841085
O84413_65_aligned.pdb,7.412573
O84413_15_aligned.pdb,8.300998
O84413_27_aligned.pdb,7.9483433
O84413_57_aligned.pdb,7.656454
O84413_5_aligned.pdb,7.326948
O84413_79_aligned.pdb,7.962826
O84413_84_aligned.pdb,8.093933
O84413_91_aligned.pdb,7.7933693
O84413_32_aligned.pdb,7.833132
O84413_42_aligned.pdb,7.636371
O84413_70_aligned.pdb,7.875475
O84413_96_aligned.pdb,7.884802
O84413_35_aligned.pdb,7.326948
O84413_45_aligned.pdb,8.569462
O84413_59_aligned.pdb,8.007557
O84413_29_aligned.pdb,8.089016
O84413_77_aligned.pdb,7.8188286
O84413_62_aligned.pdb,7.912351
O84413_12_aligned.pdb,7.930009
O84413_20_aligned.pdb,8.077454
O84413_50_aligned.pdb,7.7471123
O84413_83_aligned.pdb,7.7839
O84413_2_aligned.pdb,7.9781303
O84413_39_aligned.pdb,8.530695
O84413_49_aligned.pdb,7.337036
O84413_17_aligned.pdb,8.18478
O84413_67_aligned.pdb,7.842884
O84413_7_aligned.pdb,8.379548
O84413_86_aligned.pdb,7.781706
O84413_55_aligned.pdb,8.2019
O84413_25_aligned.pdb,7.61055
O84413_40_aligned.pdb,8.632463
O84413_30_aligned.pdb,7.2539454
O84413_93_aligned.pdb,8.404568
O84413_72_aligned.pdb,8.234205
O84413_71_aligned.pdb,8.032476
O84413_90_aligned.pdb,7.7657356
O84413_43_aligned.pdb,8.589644
O84413_33_aligned.pdb,7.790957
O84413_56_aligned.pdb,8.146296
O84413_26_aligned.pdb,8.15713
O84413_85_aligned.pdb,7.4692073
O84413_78_aligned.pdb,7.0748496
O84413_4_aligned.pdb,8.236077
O84413_14_aligned.pdb,8.285269
O84413_64_aligned.pdb,8.31872
O84413_99_aligned.pdb,7.9999447
O84413_1_aligned.pdb,7.73155
O84413_80_aligned.pdb,8.171095
O84413_23_aligned.pdb,8.142707
O84413_53_aligned.pdb,8.011633
O84413_61_aligned.pdb,8.678665
O84413_11_aligned.pdb,7.669437
O84413_89_aligned.pdb,8.223312
O84413_8_aligned.pdb,7.018239
O84413_74_aligned.pdb,8.152358
O84413_36_aligned.pdb,8.210355
O84413_46_aligned.pdb,8.389559
O84413_18_aligned.pdb,7.6807942
O84413_68_aligned.pdb,8.478485
O84413_95_aligned.pdb,7.645859
