,pHopt
P61452_11_aligned.pdb,7.49074
P61452_61_aligned.pdb,6.936884
P61452_53_aligned.pdb,7.206658
P61452_23_aligned.pdb,7.633541
P61452_3_aligned.pdb,6.668906
P61452_80_aligned.pdb,7.4265394
P61452_95_aligned.pdb,7.4748044
P61452_68_aligned.pdb,7.166563
P61452_18_aligned.pdb,6.9007645
P61452_46_aligned.pdb,7.553588
P61452_36_aligned.pdb,7.210084
P61452_74_aligned.pdb,7.5372286
P61452_89_aligned.pdb,7.490693
P61452_33_aligned.pdb,7.333741
P61452_43_aligned.pdb,7.492161
P61452_90_aligned.pdb,7.55564
P61452_71_aligned.pdb,8.054359
P61452_99_aligned.pdb,7.1601734
P61452_64_aligned.pdb,7.655647
P61452_14_aligned.pdb,7.2744617
P61452_78_aligned.pdb,7.366784
P61452_6_aligned.pdb,7.586382
P61452_85_aligned.pdb,6.948599
P61452_26_aligned.pdb,6.945954
P61452_56_aligned.pdb,7.211726
P61452_25_aligned.pdb,7.3657
P61452_55_aligned.pdb,7.2050467
P61452_86_aligned.pdb,7.3790026
P61452_5_aligned.pdb,7.6684356
P61452_67_aligned.pdb,7.431157
P61452_17_aligned.pdb,6.8595457
P61452_49_aligned.pdb,7.72642
P61452_39_aligned.pdb,7.657899
P61452_72_aligned.pdb,7.2095375
P61452_93_aligned.pdb,7.212102
P61452_30_aligned.pdb,7.517003
P61452_40_aligned.pdb,7.298207
P61452_9_aligned.pdb,7.275436
P61452_77_aligned.pdb,7.104962
P61452_29_aligned.pdb,7.64997
P61452_59_aligned.pdb,7.086052
P61452_45_aligned.pdb,7.2528596
P61452_35_aligned.pdb,7.829091
P61452_96_aligned.pdb,7.654004
P61452_83_aligned.pdb,7.0432086
P61452_0_aligned.pdb,6.981788
P61452_50_aligned.pdb,7.1992764
P61452_20_aligned.pdb,7.1102
P61452_12_aligned.pdb,7.6146326
P61452_62_aligned.pdb,7.624318
P61452_84_aligned.pdb,7.647317
P61452_7_aligned.pdb,7.4934845
P61452_79_aligned.pdb,6.990554
P61452_57_aligned.pdb,7.6207113
P61452_27_aligned.pdb,7.3560686
P61452_15_aligned.pdb,7.487542
P61452_65_aligned.pdb,7.51429
P61452_98_aligned.pdb,7.515953
P61452_70_aligned.pdb,7.5725756
P61452_42_aligned.pdb,7.6594677
P61452_32_aligned.pdb,7.4886312
P61452_91_aligned.pdb,7.821941
P61452_88_aligned.pdb,7.746524
P61452_75_aligned.pdb,7.456152
P61452_19_aligned.pdb,7.441884
P61452_69_aligned.pdb,7.906153
P61452_94_aligned.pdb,7.895135
P61452_37_aligned.pdb,7.193088
P61452_47_aligned.pdb,7.4911103
P61452_22_aligned.pdb,7.33476
P61452_52_aligned.pdb,7.2444396
P61452_81_aligned.pdb,7.5729833
P61452_2_aligned.pdb,6.8348384
P61452_60_aligned.pdb,7.214624
P61452_10_aligned.pdb,7.0486403
P61452_63_aligned.pdb,6.9923534
P61452_13_aligned.pdb,7.0704994
P61452_1_aligned.pdb,7.438533
P61452_82_aligned.pdb,7.1306157
P61452_21_aligned.pdb,7.233362
P61452_51_aligned.pdb,7.5369353
P61452_34_aligned.pdb,7.2946424
P61452_44_aligned.pdb,7.59165
P61452_97_aligned.pdb,6.8824615
P61452_76_aligned.pdb,7.696924
P61452_8_aligned.pdb,7.160084
P61452_58_aligned.pdb,7.3001585
P61452_28_aligned.pdb,6.73038
P61452_92_aligned.pdb,7.8743
P61452_41_aligned.pdb,7.623859
P61452_31_aligned.pdb,7.799884
P61452_73_aligned.pdb,7.10486
P61452_16_aligned.pdb,7.499138
P61452_66_aligned.pdb,7.2136154
P61452_38_aligned.pdb,7.649065
P61452_48_aligned.pdb,7.0733933
P61452_54_aligned.pdb,7.8381534
P61452_24_aligned.pdb,7.0327597
P61452_4_aligned.pdb,7.011361
P61452_87_aligned.pdb,7.143833
