,pHopt
Q31F43_33_aligned.pdb,8.30725
Q31F43_43_aligned.pdb,8.23904
Q31F43_90_aligned.pdb,7.516893
Q31F43_71_aligned.pdb,7.9147763
Q31F43_99_aligned.pdb,8.145964
Q31F43_64_aligned.pdb,7.8838997
Q31F43_6_aligned.pdb,7.2824645
Q31F43_14_aligned.pdb,8.248215
Q31F43_78_aligned.pdb,8.067879
Q31F43_85_aligned.pdb,7.627943
Q31F43_26_aligned.pdb,7.8840237
Q31F43_56_aligned.pdb,8.259207
Q31F43_11_aligned.pdb,7.44835
Q31F43_61_aligned.pdb,7.218281
Q31F43_3_aligned.pdb,8.208971
Q31F43_53_aligned.pdb,8.506027
Q31F43_23_aligned.pdb,6.9170656
Q31F43_80_aligned.pdb,8.432909
Q31F43_95_aligned.pdb,8.3697815
Q31F43_68_aligned.pdb,7.3071203
Q31F43_18_aligned.pdb,8.028961
Q31F43_46_aligned.pdb,7.400755
Q31F43_36_aligned.pdb,7.899495
Q31F43_74_aligned.pdb,8.438414
Q31F43_89_aligned.pdb,7.573164
Q31F43_77_aligned.pdb,7.772101
Q31F43_29_aligned.pdb,7.6760387
Q31F43_59_aligned.pdb,8.0259495
Q31F43_45_aligned.pdb,6.9720182
Q31F43_35_aligned.pdb,8.028764
Q31F43_9_aligned.pdb,7.881094
Q31F43_96_aligned.pdb,7.965358
Q31F43_83_aligned.pdb,7.5862274
Q31F43_50_aligned.pdb,7.5585117
Q31F43_20_aligned.pdb,8.473907
Q31F43_12_aligned.pdb,7.698751
Q31F43_0_aligned.pdb,7.8203807
Q31F43_62_aligned.pdb,8.62755
Q31F43_25_aligned.pdb,7.216029
Q31F43_55_aligned.pdb,7.3521857
Q31F43_86_aligned.pdb,8.218747
Q31F43_5_aligned.pdb,8.320856
Q31F43_67_aligned.pdb,8.868007
Q31F43_17_aligned.pdb,7.8353643
Q31F43_49_aligned.pdb,8.1961
Q31F43_39_aligned.pdb,8.5598955
Q31F43_72_aligned.pdb,8.041861
Q31F43_93_aligned.pdb,7.4632263
Q31F43_30_aligned.pdb,8.184211
Q31F43_40_aligned.pdb,8.458621
Q31F43_88_aligned.pdb,7.238991
Q31F43_75_aligned.pdb,7.631055
Q31F43_19_aligned.pdb,7.966578
Q31F43_69_aligned.pdb,8.125565
Q31F43_94_aligned.pdb,7.2743893
Q31F43_37_aligned.pdb,8.43278
Q31F43_47_aligned.pdb,8.336234
Q31F43_22_aligned.pdb,7.4910817
Q31F43_52_aligned.pdb,8.110907
Q31F43_81_aligned.pdb,8.334247
Q31F43_2_aligned.pdb,7.975416
Q31F43_60_aligned.pdb,8.1930685
Q31F43_10_aligned.pdb,7.3222704
Q31F43_84_aligned.pdb,8.581701
Q31F43_79_aligned.pdb,8.119929
Q31F43_57_aligned.pdb,8.310926
Q31F43_27_aligned.pdb,8.0620775
Q31F43_15_aligned.pdb,6.9230747
Q31F43_7_aligned.pdb,8.177022
Q31F43_65_aligned.pdb,8.26292
Q31F43_98_aligned.pdb,7.3374395
Q31F43_70_aligned.pdb,7.9324408
Q31F43_42_aligned.pdb,8.387955
Q31F43_32_aligned.pdb,8.522954
Q31F43_91_aligned.pdb,7.438009
Q31F43_92_aligned.pdb,8.577696
Q31F43_41_aligned.pdb,8.904775
Q31F43_31_aligned.pdb,7.5668225
Q31F43_73_aligned.pdb,6.797308
Q31F43_16_aligned.pdb,7.6549897
Q31F43_66_aligned.pdb,8.338288
Q31F43_4_aligned.pdb,7.76679
Q31F43_38_aligned.pdb,8.066226
Q31F43_48_aligned.pdb,7.918435
Q31F43_54_aligned.pdb,7.601582
Q31F43_24_aligned.pdb,8.259762
Q31F43_87_aligned.pdb,8.054338
Q31F43_63_aligned.pdb,8.346175
Q31F43_1_aligned.pdb,7.6798763
Q31F43_13_aligned.pdb,8.129563
Q31F43_82_aligned.pdb,7.114503
Q31F43_21_aligned.pdb,7.1497917
Q31F43_51_aligned.pdb,7.5690804
Q31F43_34_aligned.pdb,8.403507
Q31F43_44_aligned.pdb,8.431386
Q31F43_97_aligned.pdb,8.347641
Q31F43_8_aligned.pdb,8.048867
Q31F43_76_aligned.pdb,8.053257
Q31F43_58_aligned.pdb,8.707688
Q31F43_28_aligned.pdb,8.297373
