,pHopt
Q54YN2_67_aligned.pdb,8.262161
Q54YN2_17_aligned.pdb,7.254718
Q54YN2_4_aligned.pdb,6.7890635
Q54YN2_49_aligned.pdb,8.502467
Q54YN2_39_aligned.pdb,7.913808
Q54YN2_25_aligned.pdb,7.416717
Q54YN2_55_aligned.pdb,7.919609
Q54YN2_86_aligned.pdb,8.454639
Q54YN2_93_aligned.pdb,8.181374
Q54YN2_30_aligned.pdb,7.3551035
Q54YN2_40_aligned.pdb,7.803097
Q54YN2_72_aligned.pdb,8.114377
Q54YN2_45_aligned.pdb,8.942296
Q54YN2_8_aligned.pdb,8.401796
Q54YN2_35_aligned.pdb,8.093969
Q54YN2_96_aligned.pdb,7.759865
Q54YN2_77_aligned.pdb,8.119842
Q54YN2_29_aligned.pdb,7.966338
Q54YN2_59_aligned.pdb,7.7812243
Q54YN2_1_aligned.pdb,7.637918
Q54YN2_12_aligned.pdb,8.001173
Q54YN2_62_aligned.pdb,6.4386096
Q54YN2_83_aligned.pdb,7.9991918
Q54YN2_50_aligned.pdb,7.683179
Q54YN2_20_aligned.pdb,8.015673
Q54YN2_53_aligned.pdb,8.443209
Q54YN2_23_aligned.pdb,8.185961
Q54YN2_80_aligned.pdb,7.4292974
Q54YN2_11_aligned.pdb,7.7375464
Q54YN2_61_aligned.pdb,8.244089
Q54YN2_2_aligned.pdb,7.800994
Q54YN2_89_aligned.pdb,7.383759
Q54YN2_74_aligned.pdb,8.283765
Q54YN2_68_aligned.pdb,7.117901
Q54YN2_95_aligned.pdb,7.749922
Q54YN2_18_aligned.pdb,7.0441647
Q54YN2_46_aligned.pdb,8.490036
Q54YN2_36_aligned.pdb,8.147965
Q54YN2_71_aligned.pdb,7.2620106
Q54YN2_33_aligned.pdb,8.058519
Q54YN2_43_aligned.pdb,8.377962
Q54YN2_90_aligned.pdb,7.9993463
Q54YN2_85_aligned.pdb,7.7800384
Q54YN2_78_aligned.pdb,8.036277
Q54YN2_26_aligned.pdb,8.022435
Q54YN2_56_aligned.pdb,8.329218
Q54YN2_7_aligned.pdb,7.813403
Q54YN2_64_aligned.pdb,8.601237
Q54YN2_99_aligned.pdb,8.513205
Q54YN2_14_aligned.pdb,8.507322
Q54YN2_82_aligned.pdb,7.8206096
Q54YN2_21_aligned.pdb,7.8830123
Q54YN2_51_aligned.pdb,8.050203
Q54YN2_0_aligned.pdb,8.809992
Q54YN2_63_aligned.pdb,7.526193
Q54YN2_13_aligned.pdb,7.6162405
Q54YN2_76_aligned.pdb,8.21116
Q54YN2_58_aligned.pdb,7.8206096
Q54YN2_28_aligned.pdb,7.186317
Q54YN2_34_aligned.pdb,7.6068726
Q54YN2_9_aligned.pdb,8.492649
Q54YN2_44_aligned.pdb,7.075549
Q54YN2_97_aligned.pdb,8.575514
Q54YN2_73_aligned.pdb,8.174013
Q54YN2_92_aligned.pdb,8.149225
Q54YN2_41_aligned.pdb,7.761834
Q54YN2_31_aligned.pdb,7.1808853
Q54YN2_54_aligned.pdb,7.3329744
Q54YN2_24_aligned.pdb,8.131153
Q54YN2_87_aligned.pdb,8.226585
Q54YN2_16_aligned.pdb,7.6127253
Q54YN2_66_aligned.pdb,7.3187566
Q54YN2_38_aligned.pdb,8.548586
Q54YN2_48_aligned.pdb,7.206374
Q54YN2_5_aligned.pdb,7.72348
Q54YN2_6_aligned.pdb,7.489514
Q54YN2_15_aligned.pdb,7.332383
Q54YN2_98_aligned.pdb,7.8535147
Q54YN2_65_aligned.pdb,7.2599106
Q54YN2_79_aligned.pdb,7.6274314
Q54YN2_84_aligned.pdb,7.5484505
Q54YN2_57_aligned.pdb,8.345783
Q54YN2_27_aligned.pdb,8.738823
Q54YN2_42_aligned.pdb,7.688573
Q54YN2_32_aligned.pdb,7.514382
Q54YN2_91_aligned.pdb,8.545307
Q54YN2_70_aligned.pdb,8.2536545
Q54YN2_19_aligned.pdb,7.6724367
Q54YN2_94_aligned.pdb,7.9900184
Q54YN2_69_aligned.pdb,7.3853455
Q54YN2_37_aligned.pdb,7.5127354
Q54YN2_47_aligned.pdb,7.595461
Q54YN2_75_aligned.pdb,8.079751
Q54YN2_88_aligned.pdb,8.424848
Q54YN2_60_aligned.pdb,7.66233
Q54YN2_10_aligned.pdb,7.671664
Q54YN2_3_aligned.pdb,8.336653
Q54YN2_22_aligned.pdb,7.0340443
Q54YN2_52_aligned.pdb,7.5517282
Q54YN2_81_aligned.pdb,7.296233
