,pHopt
Q54YN2_67_aligned.pdb,7.045811
Q54YN2_17_aligned.pdb,7.508155
Q54YN2_4_aligned.pdb,7.4143705
Q54YN2_49_aligned.pdb,7.7781086
Q54YN2_39_aligned.pdb,7.3703413
Q54YN2_25_aligned.pdb,7.484603
Q54YN2_55_aligned.pdb,7.617485
Q54YN2_86_aligned.pdb,7.4123225
Q54YN2_93_aligned.pdb,7.478806
Q54YN2_30_aligned.pdb,7.618168
Q54YN2_40_aligned.pdb,7.6390476
Q54YN2_72_aligned.pdb,7.418418
Q54YN2_45_aligned.pdb,7.2742763
Q54YN2_8_aligned.pdb,7.1908813
Q54YN2_35_aligned.pdb,7.5896835
Q54YN2_96_aligned.pdb,7.607361
Q54YN2_77_aligned.pdb,7.477659
Q54YN2_29_aligned.pdb,7.6896014
Q54YN2_59_aligned.pdb,7.0371428
Q54YN2_1_aligned.pdb,7.5617194
Q54YN2_12_aligned.pdb,7.6063156
Q54YN2_62_aligned.pdb,7.2709913
Q54YN2_83_aligned.pdb,7.307862
Q54YN2_50_aligned.pdb,7.782265
Q54YN2_20_aligned.pdb,7.78619
Q54YN2_53_aligned.pdb,7.157465
Q54YN2_23_aligned.pdb,7.5765243
Q54YN2_80_aligned.pdb,7.361818
Q54YN2_11_aligned.pdb,7.609276
Q54YN2_61_aligned.pdb,7.743481
Q54YN2_2_aligned.pdb,7.2427254
Q54YN2_89_aligned.pdb,7.5486045
Q54YN2_74_aligned.pdb,7.538787
Q54YN2_68_aligned.pdb,7.1845617
Q54YN2_95_aligned.pdb,7.646844
Q54YN2_18_aligned.pdb,7.5235023
Q54YN2_46_aligned.pdb,7.153144
Q54YN2_36_aligned.pdb,7.135312
Q54YN2_71_aligned.pdb,7.3689675
Q54YN2_33_aligned.pdb,8.013635
Q54YN2_43_aligned.pdb,7.278465
Q54YN2_90_aligned.pdb,7.5166583
Q54YN2_85_aligned.pdb,7.7587004
Q54YN2_78_aligned.pdb,7.4040933
Q54YN2_26_aligned.pdb,7.5086894
Q54YN2_56_aligned.pdb,7.6482916
Q54YN2_7_aligned.pdb,7.1302094
Q54YN2_64_aligned.pdb,7.117214
Q54YN2_99_aligned.pdb,7.6180615
Q54YN2_14_aligned.pdb,7.568992
Q54YN2_82_aligned.pdb,7.434771
Q54YN2_21_aligned.pdb,7.1601133
Q54YN2_51_aligned.pdb,6.9623747
Q54YN2_0_aligned.pdb,7.812151
Q54YN2_63_aligned.pdb,7.483802
Q54YN2_13_aligned.pdb,7.515665
Q54YN2_76_aligned.pdb,7.167231
Q54YN2_58_aligned.pdb,7.4650993
Q54YN2_28_aligned.pdb,7.0475087
Q54YN2_34_aligned.pdb,7.675495
Q54YN2_9_aligned.pdb,7.547722
Q54YN2_44_aligned.pdb,7.664458
Q54YN2_97_aligned.pdb,8.106943
Q54YN2_73_aligned.pdb,7.239669
Q54YN2_92_aligned.pdb,6.692134
Q54YN2_41_aligned.pdb,7.901223
Q54YN2_31_aligned.pdb,7.631512
Q54YN2_54_aligned.pdb,7.033683
Q54YN2_24_aligned.pdb,7.9471154
Q54YN2_87_aligned.pdb,7.4016027
Q54YN2_16_aligned.pdb,7.2769604
Q54YN2_66_aligned.pdb,7.234783
Q54YN2_38_aligned.pdb,7.2068453
Q54YN2_48_aligned.pdb,7.738838
Q54YN2_5_aligned.pdb,6.990833
Q54YN2_6_aligned.pdb,7.473012
Q54YN2_15_aligned.pdb,6.973119
Q54YN2_98_aligned.pdb,7.960887
Q54YN2_65_aligned.pdb,6.8290796
Q54YN2_79_aligned.pdb,6.869933
Q54YN2_84_aligned.pdb,7.5339894
Q54YN2_57_aligned.pdb,7.2718353
Q54YN2_27_aligned.pdb,7.57972
Q54YN2_42_aligned.pdb,7.3863463
Q54YN2_32_aligned.pdb,7.0401545
Q54YN2_91_aligned.pdb,7.1957073
Q54YN2_70_aligned.pdb,7.130934
Q54YN2_19_aligned.pdb,7.1878147
Q54YN2_94_aligned.pdb,7.665045
Q54YN2_69_aligned.pdb,7.7689433
Q54YN2_37_aligned.pdb,7.159072
Q54YN2_47_aligned.pdb,7.6435356
Q54YN2_75_aligned.pdb,7.6801376
Q54YN2_88_aligned.pdb,7.435245
Q54YN2_60_aligned.pdb,7.2599454
Q54YN2_10_aligned.pdb,7.3115263
Q54YN2_3_aligned.pdb,7.7320213
Q54YN2_22_aligned.pdb,6.782597
Q54YN2_52_aligned.pdb,7.2641034
Q54YN2_81_aligned.pdb,7.2155704
