,pHopt
5.2.1.2_0,8.628616
5.2.1.2_1,8.628616
5.2.1.2_2,8.572889
5.2.1.2_3,8.624629
5.2.1.2_4,8.555749
5.2.1.2_5,8.641228
5.2.1.2_6,8.673828
5.2.1.2_7,8.47838
5.2.1.2_8,7.4682646
5.2.1.2_9,7.5295463
5.2.1.2_10,7.420513
5.2.1.2_11,7.7461433
5.2.1.2_12,7.6307044
5.2.1.2_13,7.6141787
5.2.1.2_14,7.2938776
5.2.1.2_15,7.6819925
5.2.1.2_16,8.023554
5.2.1.2_17,7.978973
5.2.1.2_18,7.807829
5.2.1.2_19,8.322653
5.2.1.2_20,7.5454636
5.2.1.2_21,7.8086724
5.2.1.2_22,7.892121
5.2.1.2_23,7.790278
5.2.1.2_24,8.0919895
5.2.1.2_25,7.7924294
5.2.1.2_26,7.745633
5.2.1.2_27,8.073837
5.2.1.2_28,8.023396
5.2.1.2_29,8.186649
5.2.1.2_30,7.8899183
5.2.1.2_31,8.09548
5.2.1.2_32,7.9619255
5.2.1.2_33,7.810034
5.2.1.2_34,7.821281
5.2.1.2_35,7.733039
5.2.1.2_36,7.9248266
5.2.1.2_37,7.741673
5.2.1.2_38,7.4957657
5.2.1.2_39,7.7734227
5.2.1.2_40,7.7967815
5.2.1.2_41,8.088709
5.2.1.2_42,7.918998
5.2.1.2_43,8.014648
5.2.1.2_44,7.9242125
5.2.1.2_45,8.038212
5.2.1.2_46,7.724595
5.2.1.2_47,7.5249295
5.2.1.2_48,7.653984
5.2.1.2_49,8.218192
5.2.1.2_50,7.883324
5.2.1.2_51,7.7219315
5.2.1.2_52,7.708399
5.2.1.2_53,7.996003
5.2.1.2_54,7.9185257
5.2.1.2_55,8.028828
5.2.1.2_56,8.012825
5.2.1.2_57,8.119476
5.2.1.2_58,7.7504673
5.2.1.2_59,7.8055077
5.2.1.2_60,8.000898
5.2.1.2_61,7.465233
5.2.1.2_62,7.8880715
5.2.1.2_63,7.974198
5.2.1.2_64,8.072514
5.2.1.2_65,8.117797
5.2.1.2_66,7.816182
5.2.1.2_67,7.8098917
5.2.1.2_68,7.588696
5.2.1.2_69,7.9573097
5.2.1.2_70,7.815238
5.2.1.2_71,7.9034567
5.2.1.2_72,7.894457
5.2.1.2_73,7.993825
5.2.1.2_74,7.918419
5.2.1.2_75,7.4957514
5.2.1.2_76,6.93268
5.2.1.2_77,7.985235
5.2.1.2_78,7.629328
5.2.1.2_79,8.189063
5.2.1.2_80,7.744767
5.2.1.2_81,7.6567707
5.2.1.2_82,8.097701
5.2.1.2_83,7.733885
5.2.1.2_84,7.4927707
5.2.1.2_85,7.8822255
5.2.1.2_86,7.527267
5.2.1.2_87,7.8180504
5.2.1.2_88,7.0777044
5.2.1.2_89,7.7185593
5.2.1.2_90,7.882408
5.2.1.2_91,6.484083
5.2.1.2_92,7.433006
5.2.1.2_93,7.475524
5.2.1.2_94,7.715033
5.2.1.2_95,7.666123
5.2.1.2_96,7.473175
5.2.1.2_97,7.03972
5.2.1.2_98,7.154299
5.2.1.2_99,7.3747396
